FPR,TPR,Organism,Species,Abundance,Dominance,Read Length,Software
0.0503597,0.857143,OB,S10,A100000,D1,R1000,Centrifuge
0.0503597,0.857143,OB,S10,A100000,D1,R150,Centrifuge
0.0503597,0.857143,OB,S10,A100000,D1,R300,Centrifuge
0.0503597,0.857143,OB,S10,A100000,D1,R75,Centrifuge
0.0070922,0.2,OB,S10,A100000,D1,R1000,Constrains
0.0070922,0.272727,OB,S10,A100000,D1,R150,Constrains
0.0070922,0.2,OB,S10,A100000,D1,R300,Constrains
0.0070922,0.272727,OB,S10,A100000,D1,R75,Constrains
0,0.75,OB,S10,A100000,D1,R1000,Kraken
0,0.714286,OB,S10,A100000,D1,R150,Kraken
0,0.75,OB,S10,A100000,D1,R300,Kraken
0,0.714286,OB,S10,A100000,D1,R75,Kraken
0.00475059,0.625,OB,S10,A100000,D1,R1000,MetaMix*
0.00475059,0.571429,OB,S10,A100000,D1,R150,MetaMix*
0.007109,0.571429,OB,S10,A100000,D1,R300,MetaMix*
0.00475059,0.625,OB,S10,A100000,D1,R75,MetaMix*
0.0070922,0.222222,OB,S10,A100000,D1,R1000,MetaPhlan2
0.00943396,0.125,OB,S10,A100000,D1,R150,MetaPhlan2
0.0070922,0.222222,OB,S10,A100000,D1,R300,MetaPhlan2
0.0070922,0.222222,OB,S10,A100000,D1,R75,MetaPhlan2
0.00239234,0.888889,OB,S10,A100000,D1,R1000,PathoScope2
0,0.888889,OB,S10,A100000,D1,R150,PathoScope2
0,0.9,OB,S10,A100000,D1,R300,PathoScope2
0,0.9,OB,S10,A100000,D1,R75,PathoScope2
0.00238663,0.5,OB,S10,A100000,D1,R1000,Sigma
0.00238663,0.5,OB,S10,A100000,D1,R150,Sigma
0.00238663,0.5,OB,S10,A100000,D1,R300,Sigma
0.00238663,0.666667,OB,S10,A100000,D1,R75,Sigma
0.0455635,0.875,OB,S10,A100000,D1,R1000,Taxator-tk
0.0455635,0.8,OB,S10,A100000,D1,R150,Taxator-tk
0.0455635,0.833333,OB,S10,A100000,D1,R300,Taxator-tk
0.0455635,0.5,OB,S10,A100000,D1,R75,Taxator-tk
0.0837321,0.75,OB,S10,A100000,D10,R1000,Centrifuge
0.0837321,0.75,OB,S10,A100000,D10,R150,Centrifuge
0.0837321,0.75,OB,S10,A100000,D10,R300,Centrifuge
0.0837321,0.75,OB,S10,A100000,D10,R75,Centrifuge
0.0119048,0.5,OB,S10,A100000,D10,R1000,Constrains
0.0119048,0.5,OB,S10,A100000,D10,R150,Constrains
0.0119048,0.5,OB,S10,A100000,D10,R300,Constrains
0.0119048,0.5,OB,S10,A100000,D10,R75,Constrains
0.00238663,0.625,OB,S10,A100000,D10,R1000,Kraken
0.00238663,0.625,OB,S10,A100000,D10,R150,Kraken
0.00238663,0.625,OB,S10,A100000,D10,R300,Kraken
0.00238663,0.625,OB,S10,A100000,D10,R75,Kraken
0.00714286,0.75,OB,S10,A100000,D10,R1000,MetaMix*
0.00714286,0.75,OB,S10,A100000,D10,R150,MetaMix*
0.00714286,0.75,OB,S10,A100000,D10,R300,MetaMix*
0.00714286,0.75,OB,S10,A100000,D10,R75,MetaMix*
0.0142518,0.375,OB,S10,A100000,D10,R1000,MetaPhlan2
0.0142518,0.375,OB,S10,A100000,D10,R150,MetaPhlan2
0.0142518,0.375,OB,S10,A100000,D10,R300,MetaPhlan2
0.0142518,0.375,OB,S10,A100000,D10,R75,MetaPhlan2
0.00239234,0.8,OB,S10,A100000,D10,R1000,PathoScope2
0.00239234,0.8,OB,S10,A100000,D10,R150,PathoScope2
0.00239234,0.8,OB,S10,A100000,D10,R300,PathoScope2
0.00239234,0.8,OB,S10,A100000,D10,R75,PathoScope2
0.00714286,0.5,OB,S10,A100000,D10,R1000,Sigma
0.00714286,0.6,OB,S10,A100000,D10,R150,Sigma
0.00714286,0.5,OB,S10,A100000,D10,R300,Sigma
0.00714286,0.6,OB,S10,A100000,D10,R75,Sigma
0.0526316,0.75,OB,S10,A100000,D10,R1000,Taxator-tk
0.0526316,0.714286,OB,S10,A100000,D10,R150,Taxator-tk
0.0526316,0.75,OB,S10,A100000,D10,R300,Taxator-tk
0.0526316,0.333333,OB,S10,A100000,D10,R75,Taxator-tk
0.0839329,0.875,OB,S10,A100000,D50,R1000,Centrifuge
0.0839329,0.875,OB,S10,A100000,D50,R150,Centrifuge
0.0839329,0.875,OB,S10,A100000,D50,R300,Centrifuge
0.0839329,0.875,OB,S10,A100000,D50,R75,Centrifuge
0.0142857,0.5,OB,S10,A100000,D50,R1000,Constrains
0.0119332,0.5,OB,S10,A100000,D50,R150,Constrains
0.0119332,0.5,OB,S10,A100000,D50,R300,Constrains
0.0119332,0.5,OB,S10,A100000,D50,R75,Constrains
0.00238663,0.625,OB,S10,A100000,D50,R1000,Kraken
0.00238663,0.625,OB,S10,A100000,D50,R150,Kraken
0.00238663,0.625,OB,S10,A100000,D50,R300,Kraken
0.00238663,0.625,OB,S10,A100000,D50,R75,Kraken
0.00477327,0.777778,OB,S10,A100000,D50,R1000,MetaMix*
0.00477327,0.777778,OB,S10,A100000,D50,R150,MetaMix*
0.00714286,0.75,OB,S10,A100000,D50,R300,MetaMix*
0.00714286,0.75,OB,S10,A100000,D50,R75,MetaMix*
0.0166271,0.333333,OB,S10,A100000,D50,R1000,MetaPhlan2
0.0142857,0.333333,OB,S10,A100000,D50,R150,MetaPhlan2
0.0142857,0.333333,OB,S10,A100000,D50,R300,MetaPhlan2
0.0142857,0.333333,OB,S10,A100000,D50,R75,MetaPhlan2
0.00239234,0.8,OB,S10,A100000,D50,R1000,PathoScope2
0.00239234,0.8,OB,S10,A100000,D50,R150,PathoScope2
0.00239234,0.8,OB,S10,A100000,D50,R300,PathoScope2
0.00239234,0.8,OB,S10,A100000,D50,R75,PathoScope2
0.0142857,0.5,OB,S10,A100000,D50,R1000,Sigma
0.0142857,0.6,OB,S10,A100000,D50,R150,Sigma
0.0142857,0.5,OB,S10,A100000,D50,R300,Sigma
0.0142857,0.6,OB,S10,A100000,D50,R75,Sigma
0.0526316,0.75,OB,S10,A100000,D50,R1000,Taxator-tk
0.0526316,0.714286,OB,S10,A100000,D50,R150,Taxator-tk
0.0526316,0.75,OB,S10,A100000,D50,R300,Taxator-tk
0.0526316,0.5,OB,S10,A100000,D50,R75,Taxator-tk
0.0743405,0.857143,OB,S10,A100000,D100,R1000,Centrifuge
0.0743405,0.857143,OB,S10,A100000,D100,R150,Centrifuge
0.0743405,0.857143,OB,S10,A100000,D100,R300,Centrifuge
0.0743405,0.875,OB,S10,A100000,D100,R75,Centrifuge
0.0119332,0.555556,OB,S10,A100000,D100,R1000,Constrains
0.0119332,0.555556,OB,S10,A100000,D100,R150,Constrains
0.0119332,0.555556,OB,S10,A100000,D100,R300,Constrains
0.0119332,0.555556,OB,S10,A100000,D100,R75,Constrains
0.00239234,0.75,OB,S10,A100000,D100,R1000,Kraken
0.00239234,0.75,OB,S10,A100000,D100,R150,Kraken
0.00239234,0.75,OB,S10,A100000,D100,R300,Kraken
0.00239234,0.75,OB,S10,A100000,D100,R75,Kraken
0.00478469,0.888889,OB,S10,A100000,D100,R1000,MetaMix*
0.00239808,0.9,OB,S10,A100000,D100,R150,MetaMix*
0.00478469,0.888889,OB,S10,A100000,D100,R300,MetaMix*
0.00239808,0.9,OB,S10,A100000,D100,R75,MetaMix*
0.0142857,0.333333,OB,S10,A100000,D100,R1000,MetaPhlan2
0.0142857,0.333333,OB,S10,A100000,D100,R150,MetaPhlan2
0.0142857,0.333333,OB,S10,A100000,D100,R300,MetaPhlan2
0.0142857,0.428571,OB,S10,A100000,D100,R75,MetaPhlan2
0.00239808,0.9,OB,S10,A100000,D100,R1000,PathoScope2
0.00239808,0.9,OB,S10,A100000,D100,R150,PathoScope2
0.00239808,0.9,OB,S10,A100000,D100,R300,PathoScope2
0.00239808,0.9,OB,S10,A100000,D100,R75,PathoScope2
0.0119332,0.625,OB,S10,A100000,D100,R1000,Sigma
0.0119332,0.7,OB,S10,A100000,D100,R150,Sigma
0.0119332,0.7,OB,S10,A100000,D100,R300,Sigma
0.0119332,0.7,OB,S10,A100000,D100,R75,Sigma
0.0527578,0.875,OB,S10,A100000,D100,R1000,Taxator-tk
0.0527578,0.875,OB,S10,A100000,D100,R150,Taxator-tk
0.0527578,0.875,OB,S10,A100000,D100,R300,Taxator-tk
0.0527578,0.833333,OB,S10,A100000,D100,R75,Taxator-tk
0.107914,0.857143,OB,S10,A1000000,D1,R1000,Centrifuge
0.107914,0.857143,OB,S10,A1000000,D1,R150,Centrifuge
0.107914,0.857143,OB,S10,A1000000,D1,R300,Centrifuge
0.107914,0.857143,OB,S10,A1000000,D1,R75,Centrifuge
0.0119048,0.545455,OB,S10,A1000000,D1,R1000,Constrains
0.0119048,0.545455,OB,S10,A1000000,D1,R150,Constrains
0.0119048,0.545455,OB,S10,A1000000,D1,R300,Constrains
0.0119048,0.545455,OB,S10,A1000000,D1,R75,Constrains
0,0.75,OB,S10,A1000000,D1,R1000,Kraken
0,0.75,OB,S10,A1000000,D1,R150,Kraken
0,0.75,OB,S10,A1000000,D1,R300,Kraken
0,0.75,OB,S10,A1000000,D1,R75,Kraken
0,0.9,OB,S10,A1000000,D1,R1000,MetaMix*
0,0.9,OB,S10,A1000000,D1,R150,MetaMix*
0,0.9,OB,S10,A1000000,D1,R300,MetaMix*
0,0.9,OB,S10,A1000000,D1,R75,MetaMix*
0.0142518,0.428571,OB,S10,A1000000,D1,R1000,MetaPhlan2
0.0142518,0.428571,OB,S10,A1000000,D1,R150,MetaPhlan2
0.0142518,0.428571,OB,S10,A1000000,D1,R300,MetaPhlan2
0.0119048,0.5,OB,S10,A1000000,D1,R75,MetaPhlan2
0,0.9,OB,S10,A1000000,D1,R1000,PathoScope2
0,0.9,OB,S10,A1000000,D1,R150,PathoScope2
0,0.9,OB,S10,A1000000,D1,R300,PathoScope2
0,0.9,OB,S10,A1000000,D1,R75,PathoScope2
0.00238663,0.5,OB,S10,A1000000,D1,R1000,Sigma
0.00238663,0.571429,OB,S10,A1000000,D1,R150,Sigma
0.00238663,0.5,OB,S10,A1000000,D1,R300,Sigma
0.00238663,0.7,OB,S10,A1000000,D1,R75,Sigma
0.0455635,0.875,OB,S10,A1000000,D1,R1000,Taxator-tk
0.0455635,0.833333,OB,S10,A1000000,D1,R150,Taxator-tk
0.0455635,0.875,OB,S10,A1000000,D1,R300,Taxator-tk
0.0455635,0.5,OB,S10,A1000000,D1,R75,Taxator-tk
0.117225,0.833333,OB,S10,A1000000,D10,R1000,Centrifuge
0.117225,0.833333,OB,S10,A1000000,D10,R150,Centrifuge
0.115108,0.857143,OB,S10,A1000000,D10,R300,Centrifuge
0.115108,0.875,OB,S10,A1000000,D10,R75,Centrifuge
0.00714286,0.545455,OB,S10,A1000000,D10,R1000,Constrains
0.00714286,0.545455,OB,S10,A1000000,D10,R150,Constrains
0.00714286,0.545455,OB,S10,A1000000,D10,R300,Constrains
0.00714286,0.545455,OB,S10,A1000000,D10,R75,Constrains
0.0071599,0.714286,OB,S10,A1000000,D10,R1000,Kraken
0.0071599,0.714286,OB,S10,A1000000,D10,R150,Kraken
0.00478469,0.75,OB,S10,A1000000,D10,R300,Kraken
0.0071599,0.714286,OB,S10,A1000000,D10,R75,Kraken
0.00714286,0.75,OB,S10,A1000000,D10,R1000,MetaMix*
0.00239234,0.8,OB,S10,A1000000,D10,R150,MetaMix*
0.00714286,0.75,OB,S10,A1000000,D10,R300,MetaMix*
0.00239234,0.8,OB,S10,A1000000,D10,R75,MetaMix*
0.00950119,0.444444,OB,S10,A1000000,D10,R1000,MetaPhlan2
0.0118483,0.375,OB,S10,A1000000,D10,R150,MetaPhlan2
0.0118483,0.375,OB,S10,A1000000,D10,R300,MetaPhlan2
0.0118483,0.375,OB,S10,A1000000,D10,R75,MetaPhlan2
0.00956938,0.888889,OB,S10,A1000000,D10,R1000,PathoScope2
0.00956938,0.888889,OB,S10,A1000000,D10,R150,PathoScope2
0.00719424,0.9,OB,S10,A1000000,D10,R300,PathoScope2
0.00956938,0.888889,OB,S10,A1000000,D10,R75,PathoScope2
0.0142857,0.428571,OB,S10,A1000000,D10,R1000,Sigma
0.0142857,0.6,OB,S10,A1000000,D10,R150,Sigma
0.0142857,0.428571,OB,S10,A1000000,D10,R300,Sigma
0.0142857,0.6,OB,S10,A1000000,D10,R75,Sigma
0.0526316,0.857143,OB,S10,A1000000,D10,R1000,Taxator-tk
0.0526316,0.833333,OB,S10,A1000000,D10,R150,Taxator-tk
0.0503597,0.875,OB,S10,A1000000,D10,R300,Taxator-tk
0.0526316,0.666667,OB,S10,A1000000,D10,R75,Taxator-tk
0.107656,0.75,OB,S10,A1000000,D50,R1000,Centrifuge
0.107656,0.75,OB,S10,A1000000,D50,R150,Centrifuge
0.107656,0.75,OB,S10,A1000000,D50,R300,Centrifuge
0.107656,0.777778,OB,S10,A1000000,D50,R75,Centrifuge
0.0119332,0.6,OB,S10,A1000000,D50,R1000,Constrains
0.0119332,0.6,OB,S10,A1000000,D50,R150,Constrains
0.0119332,0.636364,OB,S10,A1000000,D50,R300,Constrains
0.0119332,0.6,OB,S10,A1000000,D50,R75,Constrains
0.00477327,0.625,OB,S10,A1000000,D50,R1000,Kraken
0.00477327,0.625,OB,S10,A1000000,D50,R150,Kraken
0.00477327,0.625,OB,S10,A1000000,D50,R300,Kraken
0.00477327,0.625,OB,S10,A1000000,D50,R75,Kraken
0.00714286,0.75,OB,S10,A1000000,D50,R1000,MetaMix*
0.00239234,0.8,OB,S10,A1000000,D50,R150,MetaMix*
0.00239234,0.8,OB,S10,A1000000,D50,R300,MetaMix*
0.00239234,0.8,OB,S10,A1000000,D50,R75,MetaMix*
0.0142857,0.5,OB,S10,A1000000,D50,R1000,MetaPhlan2
0.0142857,0.428571,OB,S10,A1000000,D50,R150,MetaPhlan2
0.0142857,0.5,OB,S10,A1000000,D50,R300,MetaPhlan2
0.0142857,0.428571,OB,S10,A1000000,D50,R75,MetaPhlan2
0.00239234,0.8,OB,S10,A1000000,D50,R1000,PathoScope2
0.00239234,0.8,OB,S10,A1000000,D50,R150,PathoScope2
0.00239234,0.8,OB,S10,A1000000,D50,R300,PathoScope2
0.00239234,0.8,OB,S10,A1000000,D50,R75,PathoScope2
0.00238663,0.571429,OB,S10,A1000000,D50,R1000,Sigma
0.00238663,0.7,OB,S10,A1000000,D50,R150,Sigma
0.00238663,0.571429,OB,S10,A1000000,D50,R300,Sigma
0.00238663,0.7,OB,S10,A1000000,D50,R75,Sigma
0.0502392,0.777778,OB,S10,A1000000,D50,R1000,Taxator-tk
0.0502392,0.75,OB,S10,A1000000,D50,R150,Taxator-tk
0.0502392,0.777778,OB,S10,A1000000,D50,R300,Taxator-tk
0.0502392,0.5,OB,S10,A1000000,D50,R75,Taxator-tk
0.129496,0.857143,OB,S10,A1000000,D100,R1000,Centrifuge
0.129496,0.857143,OB,S10,A1000000,D100,R150,Centrifuge
0.129496,0.857143,OB,S10,A1000000,D100,R300,Centrifuge
0.129496,0.875,OB,S10,A1000000,D100,R75,Centrifuge
0.0119332,0.555556,OB,S10,A1000000,D100,R1000,Constrains
0.0119332,0.555556,OB,S10,A1000000,D100,R150,Constrains
0.0119332,0.555556,OB,S10,A1000000,D100,R300,Constrains
0.0119332,0.555556,OB,S10,A1000000,D100,R75,Constrains
0.00478469,0.75,OB,S10,A1000000,D100,R1000,Kraken
0.00478469,0.75,OB,S10,A1000000,D100,R150,Kraken
0.00478469,0.75,OB,S10,A1000000,D100,R300,Kraken
0.00478469,0.75,OB,S10,A1000000,D100,R75,Kraken
0.00478469,0.888889,OB,S10,A1000000,D100,R1000,MetaMix*
0.00239808,0.9,OB,S10,A1000000,D100,R150,MetaMix*
0.00239808,0.9,OB,S10,A1000000,D100,R300,MetaMix*
0.00239808,0.9,OB,S10,A1000000,D100,R75,MetaMix*
0.0142857,0.333333,OB,S10,A1000000,D100,R1000,MetaPhlan2
0.0142857,0.428571,OB,S10,A1000000,D100,R150,MetaPhlan2
0.0142857,0.428571,OB,S10,A1000000,D100,R300,MetaPhlan2
0.0142857,0.428571,OB,S10,A1000000,D100,R75,MetaPhlan2
0.00239808,0.9,OB,S10,A1000000,D100,R1000,PathoScope2
0.00239808,0.9,OB,S10,A1000000,D100,R150,PathoScope2
0.00239808,0.9,OB,S10,A1000000,D100,R300,PathoScope2
0.00239808,0.9,OB,S10,A1000000,D100,R75,PathoScope2
0.0071599,0.625,OB,S10,A1000000,D100,R1000,Sigma
0.0071599,0.7,OB,S10,A1000000,D100,R150,Sigma
0.0071599,0.7,OB,S10,A1000000,D100,R300,Sigma
0.0071599,0.7,OB,S10,A1000000,D100,R75,Sigma
0.0527578,0.875,OB,S10,A1000000,D100,R1000,Taxator-tk
0.0527578,0.875,OB,S10,A1000000,D100,R150,Taxator-tk
0.0527578,0.875,OB,S10,A1000000,D100,R300,Taxator-tk
0.0527578,0.833333,OB,S10,A1000000,D100,R75,Taxator-tk
0.141487,0.857143,OB,S10,A10000000,D1,R1000,Centrifuge
0.141487,0.857143,OB,S10,A10000000,D1,R150,Centrifuge
0.141487,0.857143,OB,S10,A10000000,D1,R300,Centrifuge
0.141487,0.857143,OB,S10,A10000000,D1,R75,Centrifuge
0.0119048,0.545455,OB,S10,A10000000,D1,R1000,Constrains
0.0119048,0.545455,OB,S10,A10000000,D1,R150,Constrains
0.0119048,0.545455,OB,S10,A10000000,D1,R300,Constrains
0.0119048,0.545455,OB,S10,A10000000,D1,R75,Constrains
0.00239234,0.75,OB,S10,A10000000,D1,R1000,Kraken
0.00239234,0.75,OB,S10,A10000000,D1,R150,Kraken
0.00239234,0.75,OB,S10,A10000000,D1,R300,Kraken
0.00239234,0.75,OB,S10,A10000000,D1,R75,Kraken
0.0142518,0.5,OB,S10,A10000000,D1,R1000,MetaPhlan2
0.0119048,0.555556,OB,S10,A10000000,D1,R150,MetaPhlan2
0.0119048,0.555556,OB,S10,A10000000,D1,R300,MetaPhlan2
0.0119048,0.555556,OB,S10,A10000000,D1,R75,MetaPhlan2
0.00719424,0.9,OB,S10,A10000000,D1,R1000,PathoScope2
0.00719424,0.9,OB,S10,A10000000,D1,R150,PathoScope2
0.00719424,0.9,OB,S10,A10000000,D1,R300,PathoScope2
0.00719424,0.9,OB,S10,A10000000,D1,R75,PathoScope2
0.00238663,0.5,OB,S10,A10000000,D1,R1000,Sigma
0.00238663,0.571429,OB,S10,A10000000,D1,R150,Sigma
0.00238663,0.5,OB,S10,A10000000,D1,R300,Sigma
0.00238663,0.666667,OB,S10,A10000000,D1,R75,Sigma
0.0455635,0.875,OB,S10,A10000000,D1,R1000,Taxator-tk
0.0455635,0.8,OB,S10,A10000000,D1,R150,Taxator-tk
0.0455635,0.833333,OB,S10,A10000000,D1,R300,Taxator-tk
0.0455635,0.5,OB,S10,A10000000,D1,R75,Taxator-tk
0.151079,0.857143,OB,S10,A10000000,D10,R1000,Centrifuge
0.151079,0.857143,OB,S10,A10000000,D10,R150,Centrifuge
0.151079,0.857143,OB,S10,A10000000,D10,R300,Centrifuge
0.151079,0.875,OB,S10,A10000000,D10,R75,Centrifuge
0.00714286,0.5,OB,S10,A10000000,D10,R1000,Constrains
0.00714286,0.5,OB,S10,A10000000,D10,R150,Constrains
0.00714286,0.444444,OB,S10,A10000000,D10,R300,Constrains
0.00714286,0.444444,OB,S10,A10000000,D10,R75,Constrains
0.00477327,0.625,OB,S10,A10000000,D10,R1000,Kraken
0.00477327,0.625,OB,S10,A10000000,D10,R150,Kraken
0.00477327,0.625,OB,S10,A10000000,D10,R300,Kraken
0.00477327,0.625,OB,S10,A10000000,D10,R75,Kraken
0.00950119,0.375,OB,S10,A10000000,D10,R1000,MetaPhlan2
0.00950119,0.285714,OB,S10,A10000000,D10,R150,MetaPhlan2
0.00950119,0.285714,OB,S10,A10000000,D10,R300,MetaPhlan2
0.00950119,0.285714,OB,S10,A10000000,D10,R75,MetaPhlan2
0.0119617,0.8,OB,S10,A10000000,D10,R1000,PathoScope2
0.0119617,0.8,OB,S10,A10000000,D10,R150,PathoScope2
0.0119617,0.8,OB,S10,A10000000,D10,R300,PathoScope2
0.0119617,0.8,OB,S10,A10000000,D10,R75,PathoScope2
0.00714286,0.428571,OB,S10,A10000000,D10,R1000,Sigma
0.00714286,0.6,OB,S10,A10000000,D10,R150,Sigma
0.00714286,0.428571,OB,S10,A10000000,D10,R300,Sigma
0.00714286,0.6,OB,S10,A10000000,D10,R75,Sigma
0.0502392,0.75,OB,S10,A10000000,D10,R1000,Taxator-tk
0.0502392,0.714286,OB,S10,A10000000,D10,R150,Taxator-tk
0.0502392,0.75,OB,S10,A10000000,D10,R300,Taxator-tk
0.0502392,0.5,OB,S10,A10000000,D10,R75,Taxator-tk
0.153477,0.857143,OB,S10,A10000000,D50,R1000,Centrifuge
0.153477,0.857143,OB,S10,A10000000,D50,R150,Centrifuge
0.153477,0.857143,OB,S10,A10000000,D50,R300,Centrifuge
0.153477,0.875,OB,S10,A10000000,D50,R75,Centrifuge
0.0119332,0.6,OB,S10,A10000000,D50,R1000,Constrains
0.0119332,0.6,OB,S10,A10000000,D50,R150,Constrains
0.0119332,0.6,OB,S10,A10000000,D50,R300,Constrains
0.0119332,0.6,OB,S10,A10000000,D50,R75,Constrains
0.00478469,0.75,OB,S10,A10000000,D50,R1000,Kraken
0.00478469,0.75,OB,S10,A10000000,D50,R150,Kraken
0.00478469,0.75,OB,S10,A10000000,D50,R300,Kraken
0.00478469,0.75,OB,S10,A10000000,D50,R75,Kraken
0.0142857,0.5,OB,S10,A10000000,D50,R1000,MetaPhlan2
0.0142857,0.428571,OB,S10,A10000000,D50,R150,MetaPhlan2
0.0142857,0.5,OB,S10,A10000000,D50,R300,MetaPhlan2
0.0142857,0.428571,OB,S10,A10000000,D50,R75,MetaPhlan2
0.00719424,0.9,OB,S10,A10000000,D50,R1000,PathoScope2
0.00719424,0.9,OB,S10,A10000000,D50,R150,PathoScope2
0.00719424,0.9,OB,S10,A10000000,D50,R300,PathoScope2
0.00719424,0.9,OB,S10,A10000000,D50,R75,PathoScope2
0.0119332,0.625,OB,S10,A10000000,D50,R1000,Sigma
0.0119332,0.7,OB,S10,A10000000,D50,R150,Sigma
0.0119332,0.7,OB,S10,A10000000,D50,R300,Sigma
0.0119332,0.7,OB,S10,A10000000,D50,R75,Sigma
0.0527578,0.875,OB,S10,A10000000,D50,R1000,Taxator-tk
0.0527578,0.875,OB,S10,A10000000,D50,R150,Taxator-tk
0.0527578,0.875,OB,S10,A10000000,D50,R300,Taxator-tk
0.0527578,0.8,OB,S10,A10000000,D50,R75,Taxator-tk
0.167866,0.857143,OB,S10,A10000000,D100,R1000,Centrifuge
0.167866,0.857143,OB,S10,A10000000,D100,R150,Centrifuge
0.167866,0.857143,OB,S10,A10000000,D100,R300,Centrifuge
0.167866,0.875,OB,S10,A10000000,D100,R75,Centrifuge
0.0119332,0.555556,OB,S10,A10000000,D100,R1000,Constrains
0.0119332,0.555556,OB,S10,A10000000,D100,R150,Constrains
0.0119332,0.555556,OB,S10,A10000000,D100,R300,Constrains
0.0119332,0.555556,OB,S10,A10000000,D100,R75,Constrains
0.00478469,0.75,OB,S10,A10000000,D100,R1000,Kraken
0.00478469,0.75,OB,S10,A10000000,D100,R150,Kraken
0.00478469,0.75,OB,S10,A10000000,D100,R300,Kraken
0.00478469,0.75,OB,S10,A10000000,D100,R75,Kraken
0.0142857,0.428571,OB,S10,A10000000,D100,R1000,MetaPhlan2
0.0142857,0.428571,OB,S10,A10000000,D100,R150,MetaPhlan2
0.0142857,0.428571,OB,S10,A10000000,D100,R300,MetaPhlan2
0.0142857,0.428571,OB,S10,A10000000,D100,R75,MetaPhlan2
0.00959233,0.9,OB,S10,A10000000,D100,R1000,PathoScope2
0.00959233,0.9,OB,S10,A10000000,D100,R150,PathoScope2
0.00959233,0.9,OB,S10,A10000000,D100,R300,PathoScope2
0.00959233,0.9,OB,S10,A10000000,D100,R75,PathoScope2
0.0071599,0.625,OB,S10,A10000000,D100,R1000,Sigma
0.0071599,0.7,OB,S10,A10000000,D100,R150,Sigma
0.0071599,0.666667,OB,S10,A10000000,D100,R300,Sigma
0.0071599,0.7,OB,S10,A10000000,D100,R75,Sigma
0.0527578,0.875,OB,S10,A10000000,D100,R1000,Taxator-tk
0.0527578,0.875,OB,S10,A10000000,D100,R150,Taxator-tk
0.0527578,0.875,OB,S10,A10000000,D100,R300,Taxator-tk
0.0527578,0.833333,OB,S10,A10000000,D100,R75,Taxator-tk
0.078534,0.857143,OB,S100,A100000,D1,R1000,Centrifuge
0.078534,0.863636,OB,S100,A100000,D1,R150,Centrifuge
0.078534,0.842105,OB,S100,A100000,D1,R300,Centrifuge
0.078534,0.857143,OB,S100,A100000,D1,R75,Centrifuge
0.0283019,0.0526316,OB,S100,A100000,D1,R1000,Constrains
0.00722892,0.181818,OB,S100,A100000,D1,R150,Constrains
0.0167064,0.142857,OB,S100,A100000,D1,R300,Constrains
0.00722892,0.2,OB,S100,A100000,D1,R75,Constrains
0.00261097,0.866667,OB,S100,A100000,D1,R1000,Kraken
0.00261097,0.870968,OB,S100,A100000,D1,R150,Kraken
0.00261097,0.870968,OB,S100,A100000,D1,R300,Kraken
0.00261097,0.862069,OB,S100,A100000,D1,R75,Kraken
